scale_factor,query,time(s)
1,1_tpch.sql,164.6037253308
1,6_tpch.sql,0.8940786218
1,7_tpch.sql,0.2754476859
1,9_tpch.sql,2.0187012514
1,12_tpch.sql,1.0922843132
1,19_tpch.sql,0.3898596241
2,1_tpch.sql,348.206794131
2,6_tpch.sql,1.6872341453
2,7_tpch.sql,0.5851317808
2,9_tpch.sql,3.9086708069
2,12_tpch.sql,2.1109438634
2,19_tpch.sql,0.6925507966
3,6_tpch.sql,2.5734796731
3,7_tpch.sql,0.8125791509
3,9_tpch.sql,6.1845337956
3,12_tpch.sql,3.211714918
3,19_tpch.sql,1.1834421466
4,6_tpch.sql,3.3482844445
4,7_tpch.sql,1.7078191747
4,9_tpch.sql,8.1852476347
4,12_tpch.sql,4.1637177125
4,19_tpch.sql,1.452902644
5,6_tpch.sql,4.0908566987
5,7_tpch.sql,2.0039510834
5,9_tpch.sql,10.2734099445
5,12_tpch.sql,5.1613472537
5,19_tpch.sql,1.70350463
6,6_tpch.sql,4.8030844032
6,7_tpch.sql,2.2100094194
6,9_tpch.sql,12.4903455363
6,12_tpch.sql,6.2039335743
6,19_tpch.sql,1.9990138241
7,6_tpch.sql,5.6598576338
7,7_tpch.sql,2.9558537591
7,9_tpch.sql,14.3763455984
7,12_tpch.sql,7.2001415068
7,19_tpch.sql,2.2898775965
8,6_tpch.sql,6.4124200736
8,7_tpch.sql,3.3557556395
8,9_tpch.sql,16.4532118573
8,12_tpch.sql,8.1923292629
8,19_tpch.sql,2.4979420618
9,6_tpch.sql,7.1649788569
9,7_tpch.sql,3.5960079023
9,9_tpch.sql,18.4254757757
9,12_tpch.sql,9.1517455584
9,19_tpch.sql,2.7067178041
10,6_tpch.sql,8.0278150607
10,7_tpch.sql,4.0809367919
10,9_tpch.sql,21.029591035
10,12_tpch.sql,10.2335348925
10,19_tpch.sql,2.9308836719
